netA,netB,pvalue,percentage,behavior,pill,sign
cerebell,visassoc,0.04509597597968029,0.0,memory,cortisol,pos
cerebell,salience,0.06963554379114234,0.0,memory,cortisol,pos
cerebell,subcort,0.01996438204722406,0.0,memory,cortisol,pos
cerebell,cerebell,0.022786417888217336,0.0,memory,cortisol,pos
medfront,medfront,0.08121266493353008,0.0,memory,placebo,pos
medfront,frontoparietal,0.1099983808923175,0.0,memory,placebo,pos
medfront,DMN,0.04575448692738404,0.0,memory,placebo,pos
medfront,motor,0.09280945963094656,0.0,memory,placebo,pos
medfront,visA,0.04575448692738404,0.0,memory,placebo,pos
medfront,visB,0.019996568252837577,0.0,memory,placebo,pos
medfront,visassoc,0.048747897229138304,0.5,memory,placebo,pos
medfront,salience,0.0753727505159082,0.0,memory,placebo,pos
medfront,subcort,0.02155213997260297,0.0,memory,placebo,pos
medfront,cerebell,0.026097091021287655,0.0,memory,placebo,pos
frontoparietal,medfront,0.1099983808923175,0.0,memory,placebo,pos
frontoparietal,frontoparietal,0.14394369170033028,0.0,memory,placebo,pos
frontoparietal,DMN,0.06118955748553834,0.0,memory,placebo,pos
frontoparietal,motor,0.12331705865336073,0.5,memory,placebo,pos
frontoparietal,visA,0.06118955748553834,0.0,memory,placebo,pos
frontoparietal,visB,0.026871472986282563,0.0,memory,placebo,pos
frontoparietal,visassoc,0.06516645211459138,0.0,memory,placebo,pos
frontoparietal,salience,0.10039254622215499,0.0,memory,placebo,pos
frontoparietal,subcort,0.02891583092356198,0.0,memory,placebo,pos
frontoparietal,cerebell,0.03502958149861313,0.0,memory,placebo,pos
DMN,medfront,0.04575448692738404,0.0,memory,placebo,pos
DMN,frontoparietal,0.06118955748553834,0.0,memory,placebo,pos
DMN,DMN,0.02432533965611572,0.0,memory,placebo,pos
DMN,motor,0.051463062876632604,0.0,memory,placebo,pos
DMN,visA,0.02515614883436479,0.0,memory,placebo,pos
DMN,visB,0.01096003259722711,0.0,memory,placebo,pos
DMN,visassoc,0.026816175308875256,0.0,memory,placebo,pos
DMN,salience,0.041661185193713535,0.0,memory,placebo,pos
DMN,subcort,0.011799363800287344,0.5,memory,placebo,pos
DMN,cerebell,0.014314152360632604,0.0,memory,placebo,pos
motor,medfront,0.09280945963094656,0.0,memory,placebo,pos
motor,frontoparietal,0.12331705865336073,0.5,memory,placebo,pos
motor,DMN,0.051463062876632604,0.0,memory,placebo,pos
motor,motor,0.10252808102557098,0.0,memory,placebo,pos
motor,visA,0.051463062876632604,0.0,memory,placebo,pos
motor,visB,0.02255117197502765,0.0,memory,placebo,pos
motor,visassoc,0.054821791124053276,0.0,memory,placebo,pos
motor,salience,0.08465049424552706,0.0,memory,placebo,pos
motor,subcort,0.02426993350259954,0.0,memory,placebo,pos
motor,cerebell,0.029412619745227575,0.0,memory,placebo,pos
visA,medfront,0.04575448692738404,0.0,memory,placebo,pos
visA,frontoparietal,0.06118955748553834,0.0,memory,placebo,pos
visA,DMN,0.02515614883436479,0.0,memory,placebo,pos
visA,motor,0.051463062876632604,0.0,memory,placebo,pos
visA,visA,0.02432533965611572,1.0,memory,placebo,pos
visA,visB,0.01096003259722711,0.5,memory,placebo,pos
visA,visassoc,0.026816175308875256,0.0,memory,placebo,pos
visA,salience,0.041661185193713535,0.0,memory,placebo,pos
visA,subcort,0.011799363800287344,0.5,memory,placebo,pos
visA,cerebell,0.014314152360632604,0.0,memory,placebo,pos
visB,medfront,0.019996568252837577,0.0,memory,placebo,pos
visB,frontoparietal,0.026871472986282563,0.0,memory,placebo,pos
visB,DMN,0.01096003259722711,0.0,memory,placebo,pos
visB,motor,0.02255117197502765,0.0,memory,placebo,pos
visB,visA,0.01096003259722711,0.5,memory,placebo,pos
visB,visB,0.00439488570091473,0.0,memory,placebo,pos
visB,visassoc,0.01168748385033358,0.0,memory,placebo,pos
visB,salience,0.018216501600007762,0.0,memory,placebo,pos
visB,subcort,0.005125955851372543,0.0,memory,placebo,pos
visB,cerebell,0.006193718667931503,0.0,memory,placebo,pos
visassoc,medfront,0.048747897229138304,0.5,memory,placebo,pos
visassoc,frontoparietal,0.06516645211459138,0.0,memory,placebo,pos
visassoc,DMN,0.026816175308875256,0.0,memory,placebo,pos
visassoc,motor,0.054821791124053276,0.0,memory,placebo,pos
visassoc,visA,0.026816175308875256,0.0,memory,placebo,pos
visassoc,visB,0.01168748385033358,0.0,memory,placebo,pos
visassoc,visassoc,0.02770065539258626,1.0,memory,placebo,pos
visassoc,salience,0.04439151292102406,0.0,memory,placebo,pos
visassoc,subcort,0.012582257504461514,1.0,memory,placebo,pos
visassoc,cerebell,0.015262933347287788,0.0,memory,placebo,pos
salience,medfront,0.0753727505159082,0.0,memory,placebo,pos
salience,frontoparietal,0.10039254622215499,0.0,memory,placebo,pos
salience,DMN,0.041661185193713535,0.0,memory,placebo,pos
salience,motor,0.08465049424552706,0.0,memory,placebo,pos
salience,visA,0.041661185193713535,0.0,memory,placebo,pos
salience,visB,0.018216501600007762,0.0,memory,placebo,pos
salience,visassoc,0.04439151292102406,0.0,memory,placebo,pos
salience,salience,0.0673644197083787,0.0,memory,placebo,pos
salience,subcort,0.019607385678656275,0.0,memory,placebo,pos
