netA,netB,pvalue,percentage,stim1,stim2,pill,sign
cerebell,medfront,0.01775723478011071,2.5,alc,tool,cortisol,pos
cerebell,frontoparietal,0.030856329563914153,3.5,alc,tool,cortisol,pos
cerebell,DMN,0.1057390313626716,0.0,alc,tool,cortisol,pos
cerebell,motor,0.20658712152647618,1.0,alc,tool,cortisol,pos
cerebell,visA,0.1057390313626716,0.0,alc,tool,cortisol,pos
cerebell,visB,0.04701848382651275,0.0,alc,tool,cortisol,pos
cerebell,visassoc,0.006340309544060507,3.0,alc,tool,cortisol,pos
cerebell,salience,0.1701308039773778,1.5,alc,tool,cortisol,pos
cerebell,subcort,0.05076931620099834,0.0,alc,tool,cortisol,pos
cerebell,cerebell,0.057815279766849526,0.0,alc,tool,cortisol,pos
medfront,medfront,0.06154933420525277,0.0,alc,tool,placebo,pos
medfront,frontoparietal,0.08368801024116357,0.0,alc,tool,placebo,pos
medfront,DMN,0.03451572852907281,0.0,alc,tool,placebo,pos
medfront,motor,0.07044709739220556,0.0,alc,tool,placebo,pos
medfront,visA,0.03451572852907281,0.0,alc,tool,placebo,pos
medfront,visB,0.015035123685168683,0.0,alc,tool,placebo,pos
medfront,visassoc,0.03678810338634886,0.5,alc,tool,placebo,pos
medfront,salience,0.057079238932256526,0.5,alc,tool,placebo,pos
medfront,subcort,0.016207933496173665,0.0,alc,tool,placebo,pos
medfront,cerebell,0.019637234496374223,0.0,alc,tool,placebo,pos
frontoparietal,medfront,0.08368801024116357,0.0,alc,tool,placebo,pos
frontoparietal,frontoparietal,0.11002642231234983,0.0,alc,tool,placebo,pos
frontoparietal,DMN,0.04625213232906489,0.0,alc,tool,placebo,pos
frontoparietal,motor,0.09399159943918167,0.0,alc,tool,placebo,pos
frontoparietal,visA,0.04625213232906489,0.0,alc,tool,placebo,pos
frontoparietal,visB,0.020221927278054386,0.0,alc,tool,placebo,pos
frontoparietal,visassoc,0.04928384624140736,0.0,alc,tool,placebo,pos
frontoparietal,salience,0.07628067352046108,0.0,alc,tool,placebo,pos
frontoparietal,subcort,0.021766067586463156,0.0,alc,tool,placebo,pos
frontoparietal,cerebell,0.026388752484926892,0.0,alc,tool,placebo,pos
DMN,medfront,0.03451572852907281,0.0,alc,tool,placebo,pos
DMN,frontoparietal,0.04625213232906489,0.0,alc,tool,placebo,pos
DMN,DMN,0.01829992046122675,0.0,alc,tool,placebo,pos
DMN,motor,0.038850802156836006,0.0,alc,tool,placebo,pos
DMN,visA,0.018926937738209526,0.0,alc,tool,placebo,pos
DMN,visB,0.008231279751312659,0.0,alc,tool,placebo,pos
DMN,visassoc,0.020180171219665533,0.0,alc,tool,placebo,pos
DMN,salience,0.03141127986871717,0.0,alc,tool,placebo,pos
DMN,subcort,0.008862577453798592,0.0,alc,tool,placebo,pos
DMN,cerebell,0.010754863069686427,0.0,alc,tool,placebo,pos
motor,medfront,0.07044709739220556,0.0,alc,tool,placebo,pos
motor,frontoparietal,0.09399159943918167,0.0,alc,tool,placebo,pos
motor,DMN,0.038850802156836006,0.0,alc,tool,placebo,pos
motor,motor,0.07792572970521727,0.0,alc,tool,placebo,pos
motor,visA,0.038850802156836006,0.0,alc,tool,placebo,pos
motor,visB,0.01696139082426762,0.0,alc,tool,placebo,pos
motor,visassoc,0.04140445618029265,0.0,alc,tool,placebo,pos
motor,salience,0.06418410164971577,0.0,alc,tool,placebo,pos
motor,subcort,0.018258109813168,0.0,alc,tool,placebo,pos
motor,cerebell,0.02214142380808448,0.0,alc,tool,placebo,pos
visA,medfront,0.03451572852907281,0.0,alc,tool,placebo,pos
visA,frontoparietal,0.04625213232906489,0.0,alc,tool,placebo,pos
visA,DMN,0.018926937738209526,0.0,alc,tool,placebo,pos
visA,motor,0.038850802156836006,0.0,alc,tool,placebo,pos
visA,visA,0.00011228855563327755,3.0,alc,tool,placebo,pos
visA,visB,0.008231279751312659,0.0,alc,tool,placebo,pos
visA,visassoc,0.020180171219665533,0.5,alc,tool,placebo,pos
visA,salience,0.03141127986871717,0.0,alc,tool,placebo,pos
visA,subcort,0.008862577453798592,0.5,alc,tool,placebo,pos
visA,cerebell,0.010754863069686427,0.0,alc,tool,placebo,pos
visB,medfront,0.015035123685168683,0.0,alc,tool,placebo,pos
visB,frontoparietal,0.020221927278054386,0.0,alc,tool,placebo,pos
visB,DMN,0.008231279751312659,0.0,alc,tool,placebo,pos
visB,motor,0.01696139082426762,0.0,alc,tool,placebo,pos
visB,visA,0.008231279751312659,0.0,alc,tool,placebo,pos
visB,visB,0.0032979551420430075,0.0,alc,tool,placebo,pos
visB,visassoc,0.008778419909781232,0.0,alc,tool,placebo,pos
visB,salience,0.013693628705241045,0.0,alc,tool,placebo,pos
visB,subcort,0.003846908381429315,0.0,alc,tool,placebo,pos
visB,cerebell,0.004648862020438793,0.0,alc,tool,placebo,pos
visassoc,medfront,0.03678810338634886,0.5,alc,tool,placebo,pos
visassoc,frontoparietal,0.04928384624140736,0.0,alc,tool,placebo,pos
visassoc,DMN,0.020180171219665533,0.0,alc,tool,placebo,pos
visassoc,motor,0.04140445618029265,0.0,alc,tool,placebo,pos
visassoc,visA,0.020180171219665533,0.5,alc,tool,placebo,pos
visassoc,visB,0.008778419909781232,0.0,alc,tool,placebo,pos
visassoc,visassoc,0.02084812580301465,0.0,alc,tool,placebo,pos
visassoc,salience,0.03348165049664975,0.0,alc,tool,placebo,pos
visassoc,subcort,0.009451546888331053,0.0,alc,tool,placebo,pos
visassoc,cerebell,0.011469099235454583,0.0,alc,tool,placebo,pos
salience,medfront,0.057079238932256526,0.5,alc,tool,placebo,pos
salience,frontoparietal,0.07628067352046108,0.0,alc,tool,placebo,pos
salience,DMN,0.03141127986871717,0.0,alc,tool,placebo,pos
salience,motor,0.06418410164971577,0.0,alc,tool,placebo,pos
salience,visA,0.03141127986871717,0.0,alc,tool,placebo,pos
salience,visB,0.013693628705241045,0.0,alc,tool,placebo,pos
salience,visassoc,0.03348165049664975,0.0,alc,tool,placebo,pos
salience,salience,0.05096081033183908,0.0,alc,tool,placebo,pos
salience,subcort,0.01474177566472512,0.0,alc,tool,placebo,pos
salience,cerebell,0.017881760557856285,0.0,alc,tool,placebo,pos
subcort,medfront,0.016207933496173665,0.0,alc,tool,placebo,pos
subcort,frontoparietal,0.021766067586463156,0.0,alc,tool,placebo,pos
subcort,DMN,0.008862577453798592,0.0,alc,tool,placebo,pos
subcort,motor,0.018258109813168,0.0,alc,tool,placebo,pos
subcort,visA,0.008862577453798592,0.5,alc,tool,placebo,pos
subcort,visB,0.003846908381429315,0.0,alc,tool,placebo,pos
